City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Bubaque,GW,82.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
9,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
17,Kapaa,US,79.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Mount Pleasant,US,82.11,clear sky,32.7941,-79.8626,Best Western Patriots Point
19,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
23,Lazaro Cardenas,MX,79.45,overcast clouds,17.9583,-102.2,quinta antigua
24,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Havelock,US,80.06,overcast clouds,34.8791,-76.9013,Sherwood Motel
26,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Puerto Baquerizo Moreno,EC,76.19,few clouds,-0.9,-89.6,Hotel los Algarrobos
29,Ambilobe,MG,77.72,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
35,Kota Belud,MY,76.86,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
39,Atuona,PF,77.99,clear sky,-9.8,-139.0333,Villa Enata
40,Trairi,BR,82.49,clear sky,-3.2778,-39.2689,janelas do mar
43,Ondjiva,AO,78.87,clear sky,-17.0667,15.7333,COMBUESA
44,Vallenar,CL,84.31,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
50,Axim,GH,78.06,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
51,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
52,La Asuncion,VE,82.6,broken clouds,11.0333,-63.8628,Colinas de Matasiete
58,Butaritari,KI,81.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
64,Coahuayana,MX,88.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
69,Waingapu,ID,78.44,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
71,Iralaya,HN,84.29,scattered clouds,15.0,-83.2333,Iglesia morava renovada
78,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
91,Benghazi,LY,78.96,overcast clouds,32.1167,20.0667,Tibesti Hotel
93,Atar,MR,88.74,broken clouds,20.5169,-13.0499,Oumou Elghoura
94,Zihuatanejo,MX,75.38,overcast clouds,17.6333,-101.55,La Casa Que Canta
95,Padang,ID,75.81,light rain,-0.9492,100.3543,Mercure Padang
98,Faanui,PF,77.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
107,Inhambane,MZ,75.18,light rain,-23.865,35.3833,Oceano
