City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahipara,NZ,-35.1667,173.1667,61.77,85,26,2.59,scattered clouds
1,Tasiilaq,GL,65.6145,-37.6368,32.16,88,100,38.99,snow
2,Muros,ES,42.7762,-9.0603,61.84,89,31,2.26,scattered clouds
3,Gat,IL,31.61,34.7642,70.81,100,0,4.47,clear sky
4,Rikitea,PF,-23.1203,-134.9692,74.79,70,55,16.04,broken clouds
5,Bubaque,GW,11.2833,-15.8333,82.47,73,100,6.31,overcast clouds
6,Borba,BR,-4.3878,-59.5939,91.36,52,71,2.62,broken clouds
7,Kuroiso,JP,36.9667,140.05,45.82,76,42,1.99,scattered clouds
8,Jamestown,US,42.097,-79.2353,53.51,84,90,4.0,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.25,77,63,14.29,broken clouds
10,Karpathos,GR,35.507,27.2132,69.76,73,24,27.63,few clouds
11,East London,ZA,-33.0153,27.9116,63.23,62,97,12.64,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,53.47,95,100,2.64,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,33.46,80,75,34.52,snow
14,Coihaique,CL,-45.5752,-72.0662,49.95,81,90,12.66,heavy intensity rain
15,Busselton,AU,-33.65,115.3333,56.05,85,100,11.43,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,41.56,84,90,21.85,overcast clouds
17,Kapaa,US,22.0752,-159.319,79.48,83,35,3.0,scattered clouds
18,Mount Pleasant,US,32.7941,-79.8626,82.11,68,1,5.01,clear sky
19,Alexandria,EG,31.2156,29.9553,75.16,64,40,9.22,scattered clouds
20,Flin Flon,CA,54.7682,-101.865,40.84,65,75,14.97,broken clouds
21,Albany,US,42.6001,-73.9662,57.81,62,90,1.99,overcast clouds
22,Moose Factory,CA,51.2585,-80.6094,41.0,87,75,4.61,broken clouds
23,Lazaro Cardenas,MX,17.9583,-102.2,79.45,88,100,8.84,overcast clouds
24,Mahebourg,MU,-20.4081,57.7,75.25,78,40,12.66,scattered clouds
25,Havelock,US,34.8791,-76.9013,80.06,70,100,4.0,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,100,10.78,overcast clouds
27,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,69,20,13.8,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.51,36,75,21.85,broken clouds
29,Ambilobe,MG,-13.2,49.05,77.72,75,87,6.85,overcast clouds
30,Villarrica,PY,-25.75,-56.4333,72.52,51,0,7.78,clear sky
31,Vila,PT,42.0304,-8.1588,50.94,92,100,0.56,overcast clouds
32,Pevek,RU,69.7008,170.3133,6.24,94,100,3.22,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,71.62,45,0,11.99,clear sky
34,Kodiak,US,57.79,-152.4072,42.93,86,30,7.78,scattered clouds
35,Kota Belud,MY,6.351,116.4305,76.86,88,100,5.1,overcast clouds
36,Vestmannaeyjar,IS,63.4427,-20.2734,45.91,93,100,5.48,overcast clouds
37,Lanja,IN,16.85,73.55,70.75,93,70,2.86,broken clouds
38,Nikolskoye,RU,59.7035,30.7861,33.87,84,79,4.41,light snow
39,Atuona,PF,-9.8,-139.0333,77.99,69,3,17.34,clear sky
40,Trairi,BR,-3.2778,-39.2689,82.49,65,2,13.47,clear sky
41,At-Bashi,KG,41.1702,75.8106,29.5,48,0,7.18,clear sky
42,Port Alfred,ZA,-33.5906,26.891,59.95,73,21,11.14,few clouds
43,Ondjiva,AO,-17.0667,15.7333,78.87,19,1,8.25,clear sky
44,Vallenar,CL,-28.5708,-70.7581,84.31,20,0,9.48,clear sky
45,Borkenes,NO,68.774,16.1739,38.97,100,100,7.63,overcast clouds
46,Stepnogorsk,KZ,52.3544,71.8869,46.11,38,100,18.34,overcast clouds
47,Kamaishi,JP,39.2667,141.8833,51.35,76,67,5.53,broken clouds
48,Kabare,CD,-2.4683,28.8242,63.0,90,100,0.16,light rain
49,Hermanus,ZA,-34.4187,19.2345,59.9,70,0,9.93,clear sky
50,Axim,GH,4.8699,-2.2405,78.06,86,75,7.2,broken clouds
51,Cap Malheureux,MU,-19.9842,57.6142,75.47,70,83,5.99,broken clouds
52,La Asuncion,VE,11.0333,-63.8628,82.6,73,73,17.36,broken clouds
53,Iqaluit,CA,63.7506,-68.5145,31.73,74,90,5.99,overcast clouds
54,Rodrigues Alves,BR,-7.738,-72.6509,97.0,45,100,5.32,overcast clouds
55,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,6.91,clear sky
56,Kharan,PK,28.5833,65.4167,64.54,12,0,3.71,clear sky
57,Dikson,RU,73.5069,80.5464,7.81,85,100,18.92,overcast clouds
58,Butaritari,KI,3.0707,172.7902,81.32,73,83,4.59,broken clouds
59,Qom,IR,34.6401,50.8764,61.3,30,0,5.21,clear sky
60,Heyang,CN,26.1011,107.473,52.03,74,73,3.33,light rain
61,Dudinka,RU,69.4058,86.1778,22.73,97,100,6.58,light snow
62,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,75,5.75,broken clouds
63,Redmond,US,47.674,-122.1215,59.61,74,100,5.99,overcast clouds
64,Coahuayana,MX,18.7333,-103.6833,88.68,63,100,5.97,overcast clouds
65,Birin,NP,26.8865,88.0718,54.41,84,2,4.88,clear sky
66,Mwinilunga,ZM,-11.7358,24.4293,64.29,90,98,4.63,light rain
67,Khatanga,RU,71.9667,102.5,0.97,90,88,16.87,overcast clouds
68,New Norfolk,AU,-42.7826,147.0587,47.7,68,99,3.0,overcast clouds
69,Waingapu,ID,-9.6567,120.2641,78.44,85,95,2.21,overcast clouds
70,Airai,TL,-8.9266,125.4092,61.09,86,98,1.39,overcast clouds
